custid,dropperc,mins,consecmonths,income,age,churn_Y,predictionProbability
844336,0.0163636363636364,550,28,89.2,45,0,
146041,0.018348623853211003,545,33,54.2,43,0,
847745,0.0185185185185185,378,41,55.3,41,0,
285565,0.0144927536231884,552,32,66.8,31,0,
754611,0.0121317157712305,577,4,87.2,43,0,
100018,0.0244360902255639,532,26,57.6,37,0,
195381,0.0139664804469274,716,18,78.2,48,0,
665504,0.0139720558882236,501,22,79.2,57,0,
529231,0.0238095238095238,462,13,102.3,49,0,
358025,0.022883295194508,437,42,81.6,59,0,
441653,0.04,275,15,96.7,45,0,
430610,0.0209302325581395,430,23,23.2,37,0,
273314,0.0277227722772277,505,32,74.6,58,0,
57668,0.0127478753541076,706,33,119.9,45,0,
717684,0.0142348754448399,562,28,62.5,46,0,
637210,0.025,280,22,107.3,49,0,
351148,0.0111731843575419,716,24,56.5,51,0,
959615,0.0161943319838057,494,31,56.9,43,0,
747647,0.0177165354330709,508,20,39.0,65,0,
927542,0.0241758241758242,455,31,88.3,41,0,
18523,0.0192878338278932,674,24,51.3,26,0,
127001,0.0323974082073434,463,24,90.0,44,1,
384131,0.0183946488294314,598,15,88.6,42,0,
98467,0.027027027027027,444,13,59.3,47,0,
185604,0.0127118644067797,472,22,29.2,45,0,
243163,0.0134003350083752,597,32,76.7,52,0,
144652,0.015358361774744,586,17,74.8,47,0,
941654,0.0264765784114053,491,37,24.6,33,0,
288493,0.0208768267223382,479,21,62.8,39,0,
860457,0.0224525043177893,579,21,84.8,39,0,
127386,0.0165441176470588,544,19,55.6,57,0,
937795,0.0416666666666667,288,23,61.2,64,0,
831993,0.0192644483362522,571,32,53.3,56,0,
435945,0.0263852242744063,379,29,98.8,34,0,
449853,0.0177304964539007,564,24,81.2,53,0,
184369,0.0125,480,41,46.8,38,0,
601428,0.0119760479041916,668,20,74.7,33,0,
518246,0.025,440,26,88.3,33,0,
698042,0.0157819225251076,697,32,61.1,45,0,
99579,0.0238095238095238,504,38,77.8,34,1,
702464,0.0223048327137546,538,32,86.4,40,0,
873682,0.0319148936170213,282,20,90.5,39,0,
379826,0.0159651669085631,689,29,90.5,46,0,
735337,0.0321361058601134,529,44,69.7,45,0,
931548,0.0142566191446029,491,32,36.3,32,0,
54918,0.0174757281553398,515,17,61.5,48,0,
655089,0.0118811881188119,505,28,72.6,37,0,
450972,0.011686143572621,599,24,80.8,36,0,
433315,0.0128440366972477,545,22,96.0,41,0,
854319,0.0183066361556064,437,21,78.8,38,0,
444703,0.03603603603603602,333,22,73.2,47,0,
256550,0.0136752136752137,585,39,77.4,36,0,
200606,0.0263157894736842,342,31,64.0,56,0,
792794,0.0323624595469256,309,42,94.2,54,1,
134503,0.0172661870503597,695,18,47.5,38,0,
490233,0.014827018121911,607,27,98.2,44,0,
444448,0.0125448028673835,558,31,65.4,45,0,
774125,0.0196463654223969,509,35,12.4,36,0,
272365,0.0217391304347826,414,33,80.4,32,0,
444826,0.0276595744680851,470,34,87.6,48,1,
115329,0.0151260504201681,595,30,73.3,28,0,
148486,0.0221130221130221,407,35,56.9,22,0,
675026,0.0275,400,27,47.0,47,0,
277582,0.0243445692883895,534,44,56.1,40,0,
120514,0.0113636363636364,528,22,59.5,48,0,
170275,0.019559902200489,409,19,90.6,36,0,
187187,0.0391061452513966,358,30,93.0,44,1,
837617,0.0222222222222222,450,35,47.1,45,0,
3651,0.0189393939393939,528,25,53.2,38,0,
788090,0.013986013986014,429,11,77.9,40,0,
960071,0.0206422018348624,436,20,74.6,51,0,
175256,0.0155555555555556,450,17,61.3,55,0,
431954,0.0256410256410256,429,34,87.9,46,0,
931354,0.00896860986547085,446,22,57.0,49,0,
225731,0.0273972602739726,438,19,65.3,41,0,
529805,0.0166666666666667,660,30,94.4,28,0,
389543,0.0130505709624796,613,23,69.7,31,0,
681631,0.0223325062034739,403,26,64.5,50,0,
38282,0.0167714884696017,477,35,50.8,44,0,
755553,0.0185810810810811,592,42,95.7,36,0,
217272,0.0202205882352941,544,36,75.0,58,0,
883925,0.0290556900726392,413,24,93.4,39,0,
686299,0.018348623853211003,436,11,64.0,43,0,
239143,0.0157068062827225,573,40,65.6,46,0,
845228,0.015695067264574,446,41,42.1,42,0,
38606,0.0210325047801147,523,35,94.2,48,0,
251767,0.0138888888888889,504,35,58.2,40,0,
402421,0.0416666666666667,264,31,86.1,27,1,
366585,0.0195227765726681,461,10,74.1,50,0,
750705,0.025462962962963,432,30,77.7,58,0,
205278,0.0199115044247788,452,23,59.9,40,0,
980934,0.0180327868852459,610,24,70.4,50,0,
350004,0.0188034188034188,585,28,89.2,54,0,
752743,0.0143626570915619,557,23,52.9,35,0,
35331,0.0138888888888889,504,21,71.0,49,0,
847461,0.0254237288135593,472,14,61.0,40,0,
312852,0.0404984423676012,321,18,89.8,28,0,
115036,0.0223048327137546,538,37,74.6,56,0,
324186,0.0122448979591837,490,24,52.6,30,0,
508568,0.026431718061674,454,37,71.5,45,0,
561259,0.0190839694656489,524,35,81.3,42,0,
507662,0.0241635687732342,538,18,81.2,28,0,
367914,0.0206896551724138,435,14,46.0,46,0,
882062,0.016366612111293,611,22,43.5,54,0,
361748,0.0119047619047619,588,41,67.4,56,0,
791383,0.0230769230769231,520,27,90.8,35,1,
359442,0.0298507462686567,402,25,84.4,56,1,
117110,0.0175879396984925,398,19,70.3,37,0,
581468,0.0146252285191956,547,43,83.9,38,0,
519609,0.0146443514644351,478,16,35.8,40,0,
399473,0.0148809523809524,672,21,51.7,39,0,
456826,0.020703933747412,483,31,69.1,39,0,
899093,0.0188034188034188,585,31,56.5,45,0,
433140,0.028169014084507005,355,28,32.6,46,0,
981797,0.0072202166064982,554,19,47.5,48,0,
835501,0.0153846153846154,585,24,82.3,38,0,
602693,0.0162454873646209,554,20,97.4,26,0,
161441,0.0165745856353591,543,31,61.3,53,0,
471419,0.0211946050096339,519,28,77.4,44,0,
929943,0.0134099616858238,522,31,65.0,38,0,
901118,0.0153550863723608,521,33,62.2,39,0,
764298,0.0349794238683128,486,20,70.3,30,0,
511811,0.0321543408360129,311,20,53.9,45,0,
724567,0.0231362467866324,389,38,19.9,26,0,
799449,0.0174672489082969,458,20,120.8,39,0,
584669,0.0191204588910134,523,16,77.0,22,0,
360776,0.009508716323296359,631,23,85.4,34,0,
178666,0.0196078431372549,459,29,52.0,47,0,
511446,0.0157303370786517,445,25,61.3,38,0,
515896,0.0177619893428064,563,38,67.4,43,0,
264697,0.0189035916824197,529,37,98.9,29,0,
546494,0.0149625935162095,401,29,82.4,39,0,
390435,0.0195694716242661,511,28,85.8,37,0,
318302,0.0230414746543779,434,28,67.0,39,0,
479708,0.0197530864197531,405,23,82.2,37,0,
664327,0.0284463894967177,457,14,27.9,51,0,
931368,0.0281995661605206,461,20,76.2,40,0,
682173,0.0199637023593466,551,20,71.8,18,0,
158093,0.013136288998358,609,30,84.7,46,0,
456640,0.0218978102189781,411,26,51.1,49,0,
947814,0.0364077669902913,412,20,60.3,48,0,
154975,0.0250569476082005,439,34,64.6,30,0,
358631,0.0125,640,15,58.9,27,0,
875885,0.0198511166253102,403,9,38.9,53,0,
552977,0.01620029455081,679,31,69.1,55,0,
326748,0.0415512465373961,361,28,87.1,24,1,
77488,0.0161550888529887,619,38,90.4,59,0,
208037,0.0182232346241458,439,22,71.6,36,0,
814420,0.0274599542334096,437,27,40.3,38,0,
212486,0.0194931773879142,513,14,62.1,36,0,
922628,0.014827018121911,607,17,65.1,55,0,
586472,0.019438444924406,463,35,53.7,51,0,
473475,0.0332225913621262,301,25,67.6,38,0,
324314,0.018000000000000002,500,27,66.0,58,0,
840797,0.026378896882494,417,37,61.7,41,0,
560152,0.0155210643015521,451,19,110.8,23,0,
949534,0.0188034188034188,585,35,55.2,27,0,
651029,0.02734375,512,29,71.8,35,1,
137903,0.009273570324574959,647,22,78.0,42,0,
170165,0.0280373831775701,428,32,66.5,40,0,
311673,0.0196078431372549,510,23,61.9,51,0,
661201,0.00509337860780985,589,28,71.8,41,0,
205145,0.0213464696223317,609,26,100.6,42,1,
974346,0.0287081339712919,418,28,85.5,35,0,
216121,0.0121527777777778,576,20,74.3,57,0,
630076,0.0214424951267057,513,34,114.8,49,0,
151932,0.0316622691292876,379,23,41.7,50,0,
303176,0.0285087719298246,456,36,70.7,33,1,
887524,0.0132547864506627,679,24,85.0,44,0,
